oferta_id;oferta_tomador_sexo;oferta_tom_cond;oferta_propietario_tom;oferta_propietario_cond;oferta_veh_tara;oferta_veh_categoria;oferta_veh_puertos;antiguedad_permiso;antiguedad_permiso_riesgo;edad_segundo_conductor_riesgo;cliente_extranjero;car_ranking;d_uso_particular;d_uso_alquiler;d_tipo_ciclomotor;d_tipo_furgoneta;d_tipo_camion;d_tipo_autocar;d_tipo_remolque;d_tipo_agricola;d_tipo_industrial;d_tipo_triciclo;vehiculo_heavy;oferta_sim_cia_actual;oferta_sim_siniestro_5_anio_culpa;oferta_sim_anios_asegurado;oferta_sim_antiguedad_cia_actual;oferta_sim_siniestro_1_anio_culpa;oferta_bonus_simulacion_perc;oferta_veh_valor_unitary;cliente_edad_18_30;cliente_edad_30_65;cliente_edad_65;antiguedad_vehiculo;oferta_adicional_riesgo;oferta_veh_marca;oferta_veh_modelo;oferta_veh_version;oferta_veh_accesorio;oferta_veh_uso;oferta_veh_tipo;oferta_veh_grupo_tarifa;oferta_veh_plazas;oferta_veh_potencia;oferta_veh_cilindrada;cliente_region_AFRICAARABE;cliente_region_AFRICASUBSHARIANA;cliente_region_AMERICADELSUR;cliente_region_ASIAORIENTAL;cliente_region_EUROPACENTRAL;cliente_region_EUROPADELNORTE;cliente_region_EUROPADELSUR;cliente_region_EUROPAOCCIDENTAL;cliente_region_EUROPAORIENTAL;cliente_region_MARCARIBE;cliente_region_OCEANIA;cliente_region_nan;d_sin_cia;cp_risk_relabel;intm_risk_relabel;customer_risk_relabel;veh_risk_relabel;target;risk_cia
12042;1;0;0;1;0;1;0;11;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;50.0;41760;0;1;0;1;0;0031;32;16;1500.0;110;100;18;5;180.0;1999;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;4;6;5;1;0
12433;1;1;1;1;0;1;0;2;0;0;0;5;1;0;1;1;0;0;0;0;0;0;0;31;0;10;10;0;10.0;22080;0;1;0;3;0;0017;19;242;1500.0;210;200;16;7;92.0;1560;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;7;4;9;1;0
11995;1;0;0;0;0;1;0;16;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0.0;15760;0;1;0;4;0;0022;5;63;1500.0;210;200;15;2;75.0;1248;0;0;0;0;0;0;1;0;0;0;0;0;0;5.0;2;6;9;1;0
6958;1;1;1;0;0;3;0;20;0;0;0;7;1;0;1;0;0;0;0;0;0;0;0;20;0;10;10;0;10.0;5689;0;1;0;11;0;26;432;2;0.0;710;240;35;2;27.0;279;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;2;6;9;1;0
9574;1;1;1;1;0;3;0;38;0;0;0;7;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;35.0;5399;0;1;0;11;0;0026;342;1;200.0;710;240;31;2;15.0;124;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;3;1;9;1;0
6821;1;1;1;1;0;1;0;12;0;0;0;5;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;50.0;20000;0;1;0;27;0;61;7;132;1500.0;110;150;16;8;90.0;2446;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;5;6;9;1;0
7374;1;1;1;1;0;1;0;21;0;1;0;9;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;26270;0;1;0;20;1;8;16;10;1500.0;110;100;18;5;150.0;1781;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;5;6;9;1;0
10702;1;1;1;1;0;1;0;12;0;0;0;5;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;20770;0;1;0;24;0;64;3;355;1500.0;110;100;17;5;100.0;1896;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;0;6;9;1;0
11366;0;1;1;1;0;1;0;29;0;0;0;5;1;0;1;0;0;0;0;0;0;0;0;148;0;10;10;0;10.0;20142;0;1;0;24;0;0052;1;4;0.0;110;100;18;5;145.0;1985;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;4;6;9;1;0
14015;1;1;1;1;0;1;0;10;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;10;0;0;10.0;8156;0;1;0;23;0;0064;6;7;1500.0;110;100;15;5;55.0;1272;0;0;0;0;0;0;1;0;0;0;0;0;1;7.0;6;4;9;1;0
7309;1;1;1;1;0;1;0;48;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;50.0;12231;0;0;1;21;0;0017;19;42;1500.0;210;200;15;2;71.0;1905;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;4;5;9;1;0
12721;1;1;1;1;0;1;0;34;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;49;0;30;30;0;50.0;39090;0;1;0;3;0;40;41;24;1500.0;110;150;18;5;175.0;2191;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;4;1;9;1;0
11155;0;1;1;1;0;1;0;23;0;1;0;5;1;0;1;0;0;0;0;0;0;0;0;13;0;30;30;0;50.0;20620;0;1;0;18;1;0049;19;57;1500.0;110;100;18;5;120.0;1783;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;4;6;9;1;0
2772;1;1;1;1;0;3;0;33;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;14499;0;1;0;11;0;0315;109;6;200.0;710;240;42;2;175.0;998;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;2;1;9;1;0
3421;0;1;1;1;0;1;0;4;0;0;0;3;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;-80.0;28199;0;1;0;2;0;64;12;650;1500.0;210;200;17;7;102.0;1968;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;4;4;8;1;0
3612;0;1;1;0;0;1;0;28;0;0;0;7;1;0;1;0;0;0;0;0;0;0;0;31;0;10;10;0;10.0;5409;0;0;1;22;0;54;16;24;0.0;110;100;13;5;41.0;903;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;5;4;9;1;0
14436;1;1;1;0;0;1;0;35;0;0;0;9;1;0;1;1;0;0;0;0;0;0;0;54;0;20;20;0;35.0;23870;0;1;0;12;0;61;6;36;1500.0;210;250;18;5;120.0;2494;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;4;5;9;1;0
10092;1;1;1;1;0;1;0;58;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;8;0;30;30;0;50.0;11389;0;0;1;25;0;0049;5;18;0.0;110;100;16;5;80.0;1390;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;4;6;9;1;0
6866;1;1;1;1;0;1;0;54;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;50634;0;0;1;17;0;31;14;3;1500.0;110;100;19;5;240.0;3248;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;0;6;9;1;0
11450;0;1;1;1;0;1;0;29;0;0;0;5;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;21940;0;1;0;28;0;0013;1;57;1500.0;110;100;18;5;150.0;2316;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;4;3;9;1;0
8862;0;1;1;1;0;1;0;20;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;35.0;10510;0;1;0;10;0;0046;339;24;1500.0;110;100;15;4;68.0;998;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;6;4;9;1;0
8457;1;1;1;1;0;3;0;3;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;11;0;30;30;0;50.0;8299;1;0;0;6;0;0315;247;5;200.0;710;240;41;2;78.0;600;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;5;4;9;1;0
456;1;1;1;1;0;1;0;13;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;-80.0;52550;0;1;0;1;0;41;229;291;10000.0;110;100;18;4;204.0;1796;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;5;6;5;1;0
9128;1;1;1;1;0;3;0;12;0;0;0;7;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;35.0;2399;0;1;0;4;0;0436;31;6;0.0;710;240;34;2;10.0;124;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;3;6;9;1;0
783;0;1;1;1;0;3;0;24;0;1;0;7;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;2799;0;1;0;4;1;0026;485;1;0.0;710;240;34;2;11.2;125;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;6;6;9;1;0
553;1;1;0;0;0;1;0;26;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;34182;0;1;0;18;0;0008;17;4;1500.0;110;100;18;2;180.0;1781;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;2;6;9;1;0
1685;1;1;1;1;0;1;0;45;0;0;0;5;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;20000;0;1;0;26;0;0061;4;31;1500.0;110;100;18;5;184.0;1998;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;6;5;9;1;0
6293;0;1;1;1;0;1;0;46;0;0;0;5;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;50.0;22110;0;0;1;4;0;0017;19;227;1500.0;210;200;16;5;92.0;1560;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;2;6;9;1;0
6508;1;1;1;1;0;3;0;20;0;0;0;7;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;3099;0;1;0;7;0;0436;21;4;0.0;710;240;31;2;12.0;124;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;2;6;9;1;0
10698;1;1;1;1;0;3;0;19;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;31;0;30;30;0;50.0;7489;0;1;0;6;0;0026;263;2;200.0;710;240;41;2;44.0;745;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;4;6;9;1;0
3848;1;1;1;1;0;3;0;22;0;0;0;7;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;5199;0;1;0;20;0;0026;225;1;200.0;710;240;41;2;40.0;644;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;6;6;9;1;0
13929;1;1;1;1;0;1;0;46;0;0;0;9;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;22466;0;0;1;25;0;0044;12;2;1500.0;110;150;18;7;124.0;2389;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;7;5;9;1;0
13480;1;1;1;1;0;1;0;30;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;29964;0;1;0;25;0;0013;1;49;1500.0;110;100;18;5;150.0;1991;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;2;6;9;1;0
7850;1;1;0;0;0;3;0;29;0;0;0;7;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;50.0;2499;0;1;0;17;0;0026;339;1;0.0;710;240;35;2;16.0;153;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;1;6;9;1;0
186;1;1;1;1;0;3;0;2;0;0;0;7;1;0;1;0;0;0;0;0;0;0;0;4;0;20;20;0;35.0;5109;1;0;0;4;0;59;72;3;0.0;710;240;41;2;86.0;599;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;4;6;9;1;0
9682;1;1;1;1;0;3;0;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;9642;0;1;0;17;0;0266;37;4;2000.0;710;240;42;2;47.0;883;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;6;4;9;1;0
5065;1;1;1;1;0;1;0;8;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;10.0;13847;0;1;0;22;0;17;19;10;1500.0;220;200;15;5;71.0;1905;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;1;4;9;1;0
2456;0;1;1;1;0;3;0;22;0;0;0;7;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;50.0;3499;0;1;0;3;0;0298;28;90;0.0;710;240;34;2;12.0;124;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;7;6;9;1;0
7516;1;1;0;0;0;1;0;13;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;23;0;30;30;0;50.0;39150;0;0;1;19;0;0041;82;2;1500.0;110;100;18;2;193.0;2295;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;3;6;9;1;0
9361;0;1;1;1;0;1;0;13;0;0;0;2;1;0;1;1;0;0;0;0;0;0;0;49;0;30;30;0;50.0;46591;0;1;0;1;0;0064;23;170;1500.0;210;310;18;7;150.0;1968;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;4;4;9;1;0
4352;0;1;1;1;0;1;0;17;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10.0;38570;0;1;0;4;0;0064;63;81;1500.0;110;150;18;5;177.0;1968;0;0;0;0;0;0;1;0;0;0;0;0;0;7.0;4;6;9;1;0
